song_title,artist_name,played_at,song_duration_ms,year,month,hour_of_day,day_of_week
night and day,jung seung hwan,2023-11-14 20:35:02.953000+00:00,181373,2023,11,20,Tuesday
tomorrow,rp,2023-11-14 20:31:33.800000+00:00,274148,2023,11,20,Tuesday
night and day,jung seung hwan,2023-11-14 20:13:09.062000+00:00,181373,2023,11,20,Tuesday
is it over now? (taylor's version) (from the vault),taylor swift,2023-11-14 20:12:58.258000+00:00,229477,2023,11,20,Tuesday
about loneliness,aalia,2023-11-14 20:09:08.912000+00:00,233317,2023,11,20,Tuesday
out of the woods (taylor's version),taylor swift,2023-11-14 20:00:17.964000+00:00,235800,2023,11,20,Tuesday
tomorrow,rp,2023-11-14 19:47:00.766000+00:00,274148,2023,11,19,Tuesday
shining,김한겸,2023-11-14 19:32:23.283000+00:00,210919,2023,11,19,Tuesday
my song,5moon,2023-11-14 19:27:10.850000+00:00,246871,2023,11,19,Tuesday
night and day,jung seung hwan,2023-11-14 19:23:03.448000+00:00,181373,2023,11,19,Tuesday
